#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19920901_v01, omni_hro_5min_19921001_v01,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1992-09-28T00:00:00.000Z,30,8,,
1992-09-28T00:05:00.000Z,32,8,,
1992-09-28T00:10:00.000Z,30,9,,
1992-09-28T00:15:00.000Z,30,9,,
1992-09-28T00:20:00.000Z,29,10,,
1992-09-28T00:25:00.000Z,27,10,,
1992-09-28T00:30:00.000Z,28,10,,
1992-09-28T00:35:00.000Z,28,10,,
1992-09-28T00:40:00.000Z,27,10,,
1992-09-28T00:45:00.000Z,27,10,,
1992-09-28T00:50:00.000Z,27,11,,
1992-09-28T00:55:00.000Z,29,11,,
1992-09-28T01:00:00.000Z,23,11,,
1992-09-28T01:05:00.000Z,22,11,,
1992-09-28T01:10:00.000Z,22,11,,
1992-09-28T01:15:00.000Z,19,11,,
1992-09-28T01:20:00.000Z,16,11,,
1992-09-28T01:25:00.000Z,19,11,,
1992-09-28T01:30:00.000Z,21,12,,
1992-09-28T01:35:00.000Z,22,11,,
1992-09-28T01:40:00.000Z,24,10,,
1992-09-28T01:45:00.000Z,17,10,,
1992-09-28T01:50:00.000Z,19,10,,
1992-09-28T01:55:00.000Z,17,10,,
1992-09-28T02:00:00.000Z,24,10,,
1992-09-28T02:05:00.000Z,23,10,,
1992-09-28T02:10:00.000Z,19,10,,
1992-09-28T02:15:00.000Z,16,9,,
1992-09-28T02:20:00.000Z,11,9,,
1992-09-28T02:25:00.000Z,8,9,,
1992-09-28T02:30:00.000Z,12,8,,
1992-09-28T02:35:00.000Z,22,8,,
1992-09-28T02:40:00.000Z,29,9,,
1992-09-28T02:45:00.000Z,47,9,,
1992-09-28T02:50:00.000Z,54,9,,
1992-09-28T02:55:00.000Z,48,9,,
1992-09-28T03:00:00.000Z,43,8,,
1992-09-28T03:05:00.000Z,35,8,,
1992-09-28T03:10:00.000Z,34,9,,
1992-09-28T03:15:00.000Z,24,8,,
1992-09-28T03:20:00.000Z,26,9,,
1992-09-28T03:25:00.000Z,35,9,,
1992-09-28T03:30:00.000Z,40,9,,
1992-09-28T03:35:00.000Z,42,7,,
1992-09-28T03:40:00.000Z,58,7,,
1992-09-28T03:45:00.000Z,79,6,,
1992-09-28T03:50:00.000Z,110,6,,
1992-09-28T03:55:00.000Z,114,6,,
1992-09-28T04:00:00.000Z,119,5,,
1992-09-28T04:05:00.000Z,129,4,,
1992-09-28T04:10:00.000Z,141,3,,
1992-09-28T04:15:00.000Z,138,2,,
1992-09-28T04:20:00.000Z,132,2,,
1992-09-28T04:25:00.000Z,142,1,,
1992-09-28T04:30:00.000Z,136,1,,
1992-09-28T04:35:00.000Z,133,0,,
1992-09-28T04:40:00.000Z,128,-1,,
1992-09-28T04:45:00.000Z,129,-1,,
1992-09-28T04:50:00.000Z,116,-1,,
1992-09-28T04:55:00.000Z,104,-1,,
1992-09-28T05:00:00.000Z,113,-1,,
1992-09-28T05:05:00.000Z,112,-3,,
1992-09-28T05:10:00.000Z,97,-3,,
1992-09-28T05:15:00.000Z,91,-3,,
1992-09-28T05:20:00.000Z,91,-3,,
1992-09-28T05:25:00.000Z,85,-4,,
1992-09-28T05:30:00.000Z,80,-4,,
1992-09-28T05:35:00.000Z,100,-4,,
1992-09-28T05:40:00.000Z,112,-4,,
1992-09-28T05:45:00.000Z,131,-5,,
1992-09-28T05:50:00.000Z,138,-6,,
1992-09-28T05:55:00.000Z,135,-7,,
1992-09-28T06:00:00.000Z,123,-9,,
1992-09-28T06:05:00.000Z,94,-10,,
1992-09-28T06:10:00.000Z,69,-10,,
1992-09-28T06:15:00.000Z,49,-10,,
1992-09-28T06:20:00.000Z,44,-10,,
1992-09-28T06:25:00.000Z,39,-9,,
1992-09-28T06:30:00.000Z,44,-8,,
1992-09-28T06:35:00.000Z,51,-6,,
1992-09-28T06:40:00.000Z,46,-3,,
1992-09-28T06:45:00.000Z,70,-7,,
1992-09-28T06:50:00.000Z,100,-6,,
1992-09-28T06:55:00.000Z,211,-4,,
1992-09-28T07:00:00.000Z,189,0,,
1992-09-28T07:05:00.000Z,143,1,,
1992-09-28T07:10:00.000Z,92,1,,
1992-09-28T07:15:00.000Z,53,2,,
1992-09-28T07:20:00.000Z,47,3,,
1992-09-28T07:25:00.000Z,49,3,,
1992-09-28T07:30:00.000Z,56,4,,
1992-09-28T07:35:00.000Z,66,3,,
1992-09-28T07:40:00.000Z,56,4,,
1992-09-28T07:45:00.000Z,52,4,,
1992-09-28T07:50:00.000Z,37,5,,
1992-09-28T07:55:00.000Z,37,5,,
1992-09-28T08:00:00.000Z,29,5,,
1992-09-28T08:05:00.000Z,29,5,,
1992-09-28T08:10:00.000Z,34,4,,
1992-09-28T08:15:00.000Z,29,6,,
1992-09-28T08:20:00.000Z,45,7,,
1992-09-28T08:25:00.000Z,54,7,,
1992-09-28T08:30:00.000Z,54,8,,
1992-09-28T08:35:00.000Z,53,6,,
1992-09-28T08:40:00.000Z,45,6,,
1992-09-28T08:45:00.000Z,38,5,,
1992-09-28T08:50:00.000Z,34,5,,
1992-09-28T08:55:00.000Z,34,5,,
1992-09-28T09:00:00.000Z,30,6,,
1992-09-28T09:05:00.000Z,39,7,,
1992-09-28T09:10:00.000Z,76,5,,
1992-09-28T09:15:00.000Z,38,2,,
1992-09-28T09:20:00.000Z,38,0,,
1992-09-28T09:25:00.000Z,50,1,,
1992-09-28T09:30:00.000Z,125,2,,
1992-09-28T09:35:00.000Z,94,4,,
1992-09-28T09:40:00.000Z,195,3,,
1992-09-28T09:45:00.000Z,131,5,,
1992-09-28T09:50:00.000Z,254,6,,
1992-09-28T09:55:00.000Z,239,8,,
1992-09-28T10:00:00.000Z,132,7,,
1992-09-28T10:05:00.000Z,95,8,,
1992-09-28T10:10:00.000Z,108,8,,
1992-09-28T10:15:00.000Z,110,8,,
1992-09-28T10:20:00.000Z,95,9,,
1992-09-28T10:25:00.000Z,160,10,,
1992-09-28T10:30:00.000Z,185,11,,
1992-09-28T10:35:00.000Z,160,14,,
1992-09-28T10:40:00.000Z,166,15,,
1992-09-28T10:45:00.000Z,197,16,,
1992-09-28T10:50:00.000Z,135,16,,
1992-09-28T10:55:00.000Z,108,16,,
1992-09-28T11:00:00.000Z,122,18,,
1992-09-28T11:05:00.000Z,126,18,,
1992-09-28T11:10:00.000Z,78,19,,
1992-09-28T11:15:00.000Z,102,20,,
1992-09-28T11:20:00.000Z,97,22,,
1992-09-28T11:25:00.000Z,82,22,,
1992-09-28T11:30:00.000Z,118,20,,
1992-09-28T11:35:00.000Z,133,21,,
1992-09-28T11:40:00.000Z,116,21,,
1992-09-28T11:45:00.000Z,123,22,,
1992-09-28T11:50:00.000Z,152,23,,
1992-09-28T11:55:00.000Z,152,23,,
1992-09-28T12:00:00.000Z,171,22,,
1992-09-28T12:05:00.000Z,198,15,,
1992-09-28T12:10:00.000Z,202,16,,
1992-09-28T12:15:00.000Z,162,18,,
1992-09-28T12:20:00.000Z,205,16,,
1992-09-28T12:25:00.000Z,241,18,,
1992-09-28T12:30:00.000Z,222,18,,
1992-09-28T12:35:00.000Z,234,17,,
1992-09-28T12:40:00.000Z,248,16,,
1992-09-28T12:45:00.000Z,241,15,,
1992-09-28T12:50:00.000Z,233,15,,
1992-09-28T12:55:00.000Z,278,15,,
1992-09-28T13:00:00.000Z,342,13,,
1992-09-28T13:05:00.000Z,345,12,,
1992-09-28T13:10:00.000Z,343,11,,
1992-09-28T13:15:00.000Z,339,11,,
1992-09-28T13:20:00.000Z,321,12,,
1992-09-28T13:25:00.000Z,461,11,,
1992-09-28T13:30:00.000Z,606,11,,
1992-09-28T13:35:00.000Z,777,10,,
1992-09-28T13:40:00.000Z,773,10,,
1992-09-28T13:45:00.000Z,700,10,,
1992-09-28T13:50:00.000Z,714,11,,
1992-09-28T13:55:00.000Z,686,12,,
1992-09-28T14:00:00.000Z,554,11,,
1992-09-28T14:05:00.000Z,508,11,,
1992-09-28T14:10:00.000Z,518,12,,
1992-09-28T14:15:00.000Z,406,12,,
1992-09-28T14:20:00.000Z,333,13,,
1992-09-28T14:25:00.000Z,307,14,,
1992-09-28T14:30:00.000Z,313,13,,
1992-09-28T14:35:00.000Z,340,13,,
1992-09-28T14:40:00.000Z,338,13,,
1992-09-28T14:45:00.000Z,323,15,,
1992-09-28T14:50:00.000Z,426,16,,
1992-09-28T14:55:00.000Z,439,16,,
1992-09-28T15:00:00.000Z,471,16,,
1992-09-28T15:05:00.000Z,465,13,,
1992-09-28T15:10:00.000Z,537,12,,
1992-09-28T15:15:00.000Z,592,13,,
1992-09-28T15:20:00.000Z,603,15,,
1992-09-28T15:25:00.000Z,547,14,,
1992-09-28T15:30:00.000Z,578,13,,
1992-09-28T15:35:00.000Z,571,12,,
1992-09-28T15:40:00.000Z,524,11,,
1992-09-28T15:45:00.000Z,582,7,,
1992-09-28T15:50:00.000Z,490,7,,
1992-09-28T15:55:00.000Z,491,12,,
1992-09-28T16:00:00.000Z,525,15,,
1992-09-28T16:05:00.000Z,531,13,,
1992-09-28T16:10:00.000Z,452,13,,
1992-09-28T16:15:00.000Z,463,11,,
1992-09-28T16:20:00.000Z,398,11,,
1992-09-28T16:25:00.000Z,406,10,,
1992-09-28T16:30:00.000Z,421,8,,
1992-09-28T16:35:00.000Z,385,6,,
1992-09-28T16:40:00.000Z,422,6,,
1992-09-28T16:45:00.000Z,383,7,,
1992-09-28T16:50:00.000Z,381,8,,
1992-09-28T16:55:00.000Z,443,6,,
1992-09-28T17:00:00.000Z,392,6,,
1992-09-28T17:05:00.000Z,406,4,,
1992-09-28T17:10:00.000Z,508,1,,
1992-09-28T17:15:00.000Z,557,0,,
1992-09-28T17:20:00.000Z,473,1,,
1992-09-28T17:25:00.000Z,412,3,,
1992-09-28T17:30:00.000Z,309,2,,
1992-09-28T17:35:00.000Z,395,1,,
1992-09-28T17:40:00.000Z,447,-2,,
1992-09-28T17:45:00.000Z,371,-4,,
1992-09-28T17:50:00.000Z,409,-9,,
1992-09-28T17:55:00.000Z,575,-17,,
1992-09-28T18:00:00.000Z,462,-16,,
1992-09-28T18:05:00.000Z,351,-14,,
1992-09-28T18:10:00.000Z,333,-11,,
1992-09-28T18:15:00.000Z,379,-12,,
1992-09-28T18:20:00.000Z,351,-12,,
1992-09-28T18:25:00.000Z,324,-11,,
1992-09-28T18:30:00.000Z,344,-11,,
1992-09-28T18:35:00.000Z,256,-9,,
1992-09-28T18:40:00.000Z,220,-8,,
1992-09-28T18:45:00.000Z,309,-8,,
1992-09-28T18:50:00.000Z,271,-5,,
1992-09-28T18:55:00.000Z,234,-3,,
1992-09-28T19:00:00.000Z,263,-5,,
1992-09-28T19:05:00.000Z,241,-5,,
1992-09-28T19:10:00.000Z,188,-5,,
1992-09-28T19:15:00.000Z,157,-6,,
1992-09-28T19:20:00.000Z,106,-6,,
1992-09-28T19:25:00.000Z,99,-6,,
1992-09-28T19:30:00.000Z,115,-9,,
1992-09-28T19:35:00.000Z,106,-8,,
1992-09-28T19:40:00.000Z,105,-5,,
1992-09-28T19:45:00.000Z,149,-2,,
1992-09-28T19:50:00.000Z,210,-1,,
1992-09-28T19:55:00.000Z,151,-2,,
1992-09-28T20:00:00.000Z,125,-3,,
1992-09-28T20:05:00.000Z,214,-2,,
1992-09-28T20:10:00.000Z,242,-2,,
1992-09-28T20:15:00.000Z,234,-3,,
1992-09-28T20:20:00.000Z,263,-3,,
1992-09-28T20:25:00.000Z,323,-4,,
1992-09-28T20:30:00.000Z,348,-4,,
1992-09-28T20:35:00.000Z,569,-3,,
1992-09-28T20:40:00.000Z,602,-9,,
1992-09-28T20:45:00.000Z,749,-10,,
1992-09-28T20:50:00.000Z,770,-9,,
1992-09-28T20:55:00.000Z,698,-12,,
1992-09-28T21:00:00.000Z,810,-15,,
1992-09-28T21:05:00.000Z,1108,-16,,
1992-09-28T21:10:00.000Z,1211,-21,,
1992-09-28T21:15:00.000Z,1083,-26,,
1992-09-28T21:20:00.000Z,991,-28,,
1992-09-28T21:25:00.000Z,931,-28,,
1992-09-28T21:30:00.000Z,834,-29,,
1992-09-28T21:35:00.000Z,759,-28,,
1992-09-28T21:40:00.000Z,863,-27,,
1992-09-28T21:45:00.000Z,798,-28,,
1992-09-28T21:50:00.000Z,744,-33,,
1992-09-28T21:55:00.000Z,660,-34,,
1992-09-28T22:00:00.000Z,709,-37,,
1992-09-28T22:05:00.000Z,671,-37,,
1992-09-28T22:10:00.000Z,635,-37,,
1992-09-28T22:15:00.000Z,693,-36,,
1992-09-28T22:20:00.000Z,592,-37,,
1992-09-28T22:25:00.000Z,612,-37,,
1992-09-28T22:30:00.000Z,632,-39,,
1992-09-28T22:35:00.000Z,623,-43,,
1992-09-28T22:40:00.000Z,583,-44,,
1992-09-28T22:45:00.000Z,580,-45,,
1992-09-28T22:50:00.000Z,549,-44,,
1992-09-28T22:55:00.000Z,516,-43,,
1992-09-28T23:00:00.000Z,448,-45,,
1992-09-28T23:05:00.000Z,481,-46,,
1992-09-28T23:10:00.000Z,509,-48,,
1992-09-28T23:15:00.000Z,496,-51,,
1992-09-28T23:20:00.000Z,474,-53,,
1992-09-28T23:25:00.000Z,412,-55,,
1992-09-28T23:30:00.000Z,391,-55,,
1992-09-28T23:35:00.000Z,364,-56,,
1992-09-28T23:40:00.000Z,314,-57,,
1992-09-28T23:45:00.000Z,317,-59,,
1992-09-28T23:50:00.000Z,308,-59,,
1992-09-28T23:55:00.000Z,326,-55,,
1992-09-29T00:00:00.000Z,277,-52,,
1992-09-29T00:05:00.000Z,247,-49,,
1992-09-29T00:10:00.000Z,211,-48,,
1992-09-29T00:15:00.000Z,193,-47,,
1992-09-29T00:20:00.000Z,149,-46,,
1992-09-29T00:25:00.000Z,131,-45,,
1992-09-29T00:30:00.000Z,183,-45,,
1992-09-29T00:35:00.000Z,162,-45,,
1992-09-29T00:40:00.000Z,116,-43,,
1992-09-29T00:45:00.000Z,99,-41,,
1992-09-29T00:50:00.000Z,99,-39,,
1992-09-29T00:55:00.000Z,116,-36,,
1992-09-29T01:00:00.000Z,97,-34,,
1992-09-29T01:05:00.000Z,158,-27,,
1992-09-29T01:10:00.000Z,85,-26,,
1992-09-29T01:15:00.000Z,89,-27,,
1992-09-29T01:20:00.000Z,110,-27,,
1992-09-29T01:25:00.000Z,93,-27,,
1992-09-29T01:30:00.000Z,94,-27,,
1992-09-29T01:35:00.000Z,104,-27,,
1992-09-29T01:40:00.000Z,123,-30,,
1992-09-29T01:45:00.000Z,123,-33,,
1992-09-29T01:50:00.000Z,160,-32,,
1992-09-29T01:55:00.000Z,171,-33,,
1992-09-29T02:00:00.000Z,216,-33,,
1992-09-29T02:05:00.000Z,239,-34,,
1992-09-29T02:10:00.000Z,251,-36,,
1992-09-29T02:15:00.000Z,252,-38,,
1992-09-29T02:20:00.000Z,318,-39,,
1992-09-29T02:25:00.000Z,359,-39,,
1992-09-29T02:30:00.000Z,388,-41,,
1992-09-29T02:35:00.000Z,496,-43,,
1992-09-29T02:40:00.000Z,437,-46,,
1992-09-29T02:45:00.000Z,485,-52,,
1992-09-29T02:50:00.000Z,496,-57,,
1992-09-29T02:55:00.000Z,500,-58,,
1992-09-29T03:00:00.000Z,466,-58,,
1992-09-29T03:05:00.000Z,622,-59,,
1992-09-29T03:10:00.000Z,885,-61,,
1992-09-29T03:15:00.000Z,845,-62,,
1992-09-29T03:20:00.000Z,989,-65,,
1992-09-29T03:25:00.000Z,869,-67,,
1992-09-29T03:30:00.000Z,1027,-68,,
1992-09-29T03:35:00.000Z,1034,-71,,
1992-09-29T03:40:00.000Z,948,-76,,
1992-09-29T03:45:00.000Z,1080,-84,,
1992-09-29T03:50:00.000Z,1203,-94,,
1992-09-29T03:55:00.000Z,930,-100,,
1992-09-29T04:00:00.000Z,681,-105,,
1992-09-29T04:05:00.000Z,630,-102,,
1992-09-29T04:10:00.000Z,752,-100,,
1992-09-29T04:15:00.000Z,867,-100,,
1992-09-29T04:20:00.000Z,1178,-99,,
1992-09-29T04:25:00.000Z,1341,-99,,
1992-09-29T04:30:00.000Z,1184,-98,,
1992-09-29T04:35:00.000Z,1093,-96,,
1992-09-29T04:40:00.000Z,1161,-92,,
1992-09-29T04:45:00.000Z,1089,-92,,
1992-09-29T04:50:00.000Z,743,-95,,
1992-09-29T04:55:00.000Z,754,-94,,
1992-09-29T05:00:00.000Z,721,-93,,
1992-09-29T05:05:00.000Z,695,-92,,
1992-09-29T05:10:00.000Z,840,-94,,
1992-09-29T05:15:00.000Z,855,-97,,
1992-09-29T05:20:00.000Z,746,-97,,
1992-09-29T05:25:00.000Z,654,-93,,
1992-09-29T05:30:00.000Z,540,-94,,
1992-09-29T05:35:00.000Z,540,-87,,
1992-09-29T05:40:00.000Z,790,-82,,
1992-09-29T05:45:00.000Z,893,-86,,
1992-09-29T05:50:00.000Z,915,-94,,
1992-09-29T05:55:00.000Z,833,-105,,
1992-09-29T06:00:00.000Z,849,-104,,
1992-09-29T06:05:00.000Z,877,-102,,
1992-09-29T06:10:00.000Z,934,-109,,
1992-09-29T06:15:00.000Z,920,-118,,
1992-09-29T06:20:00.000Z,912,-120,,
1992-09-29T06:25:00.000Z,1045,-119,,
1992-09-29T06:30:00.000Z,1156,-120,,
1992-09-29T06:35:00.000Z,1347,-122,,
1992-09-29T06:40:00.000Z,1194,-127,,
1992-09-29T06:45:00.000Z,1050,-132,,
1992-09-29T06:50:00.000Z,1114,-134,,
1992-09-29T06:55:00.000Z,1140,-129,,
1992-09-29T07:00:00.000Z,945,-126,,
1992-09-29T07:05:00.000Z,733,-122,,
1992-09-29T07:10:00.000Z,748,-120,,
1992-09-29T07:15:00.000Z,833,-121,,
1992-09-29T07:20:00.000Z,807,-120,,
1992-09-29T07:25:00.000Z,914,-117,,
1992-09-29T07:30:00.000Z,823,-116,,
1992-09-29T07:35:00.000Z,790,-111,,
1992-09-29T07:40:00.000Z,740,-108,,
1992-09-29T07:45:00.000Z,647,-105,,
1992-09-29T07:50:00.000Z,524,-102,,
1992-09-29T07:55:00.000Z,505,-101,,
1992-09-29T08:00:00.000Z,584,-98,,
1992-09-29T08:05:00.000Z,484,-96,,
1992-09-29T08:10:00.000Z,573,-97,,
1992-09-29T08:15:00.000Z,467,-95,,
1992-09-29T08:20:00.000Z,442,-96,,
1992-09-29T08:25:00.000Z,293,-99,,
1992-09-29T08:30:00.000Z,290,-99,,
1992-09-29T08:35:00.000Z,289,-100,,
1992-09-29T08:40:00.000Z,352,-98,,
1992-09-29T08:45:00.000Z,682,-92,,
1992-09-29T08:50:00.000Z,779,-96,,
1992-09-29T08:55:00.000Z,1010,-98,,
1992-09-29T09:00:00.000Z,902,-96,,
1992-09-29T09:05:00.000Z,914,-96,,
1992-09-29T09:10:00.000Z,897,-96,,
1992-09-29T09:15:00.000Z,905,-92,,
1992-09-29T09:20:00.000Z,850,-85,,
1992-09-29T09:25:00.000Z,884,-84,,
1992-09-29T09:30:00.000Z,960,-88,,
1992-09-29T09:35:00.000Z,928,-92,,
1992-09-29T09:40:00.000Z,833,-99,,
1992-09-29T09:45:00.000Z,899,-100,,
1992-09-29T09:50:00.000Z,854,-101,,
1992-09-29T09:55:00.000Z,918,-104,,
1992-09-29T10:00:00.000Z,1028,-109,,
1992-09-29T10:05:00.000Z,1010,-110,,
1992-09-29T10:10:00.000Z,960,-112,,
1992-09-29T10:15:00.000Z,892,-115,,
1992-09-29T10:20:00.000Z,869,-114,,
1992-09-29T10:25:00.000Z,896,-114,,
1992-09-29T10:30:00.000Z,925,-112,,
1992-09-29T10:35:00.000Z,810,-110,,
1992-09-29T10:40:00.000Z,799,-107,,
1992-09-29T10:45:00.000Z,751,-107,,
1992-09-29T10:50:00.000Z,779,-105,,
1992-09-29T10:55:00.000Z,690,-104,,
1992-09-29T11:00:00.000Z,699,-103,,
1992-09-29T11:05:00.000Z,900,-102,,
1992-09-29T11:10:00.000Z,952,-100,,
1992-09-29T11:15:00.000Z,722,-100,,
1992-09-29T11:20:00.000Z,692,-102,,
1992-09-29T11:25:00.000Z,773,-104,,
1992-09-29T11:30:00.000Z,724,-105,,
1992-09-29T11:35:00.000Z,594,-110,,
1992-09-29T11:40:00.000Z,777,-112,,
1992-09-29T11:45:00.000Z,785,-111,,
1992-09-29T11:50:00.000Z,804,-106,,
1992-09-29T11:55:00.000Z,803,-104,,
1992-09-29T12:00:00.000Z,982,-104,,
1992-09-29T12:05:00.000Z,1013,-97,,
1992-09-29T12:10:00.000Z,888,-86,,
1992-09-29T12:15:00.000Z,1277,-80,,
1992-09-29T12:20:00.000Z,1405,-76,,
1992-09-29T12:25:00.000Z,1099,-74,,
1992-09-29T12:30:00.000Z,1186,-74,,
1992-09-29T12:35:00.000Z,1049,-75,,
1992-09-29T12:40:00.000Z,1126,-70,,
1992-09-29T12:45:00.000Z,980,-70,,
1992-09-29T12:50:00.000Z,870,-72,,
1992-09-29T12:55:00.000Z,1042,-71,,
1992-09-29T13:00:00.000Z,1148,-69,,
1992-09-29T13:05:00.000Z,1085,-70,,
1992-09-29T13:10:00.000Z,1168,-72,,
1992-09-29T13:15:00.000Z,1237,-76,,
1992-09-29T13:20:00.000Z,1324,-77,,
1992-09-29T13:25:00.000Z,1187,-76,,
1992-09-29T13:30:00.000Z,876,-75,,
1992-09-29T13:35:00.000Z,914,-70,,
1992-09-29T13:40:00.000Z,750,-68,,
1992-09-29T13:45:00.000Z,691,-66,,
1992-09-29T13:50:00.000Z,574,-66,,
1992-09-29T13:55:00.000Z,679,-67,,
1992-09-29T14:00:00.000Z,604,-66,,
1992-09-29T14:05:00.000Z,594,-66,,
1992-09-29T14:10:00.000Z,616,-67,,
1992-09-29T14:15:00.000Z,779,-66,,
1992-09-29T14:20:00.000Z,706,-66,,
1992-09-29T14:25:00.000Z,774,-67,,
1992-09-29T14:30:00.000Z,634,-65,,
1992-09-29T14:35:00.000Z,776,-68,,
1992-09-29T14:40:00.000Z,706,-67,,
1992-09-29T14:45:00.000Z,716,-66,,
1992-09-29T14:50:00.000Z,647,-66,,
1992-09-29T14:55:00.000Z,652,-66,,
1992-09-29T15:00:00.000Z,629,-67,,
1992-09-29T15:05:00.000Z,550,-67,,
1992-09-29T15:10:00.000Z,437,-67,,
1992-09-29T15:15:00.000Z,415,-67,,
1992-09-29T15:20:00.000Z,390,-68,,
1992-09-29T15:25:00.000Z,369,-67,,
1992-09-29T15:30:00.000Z,438,-68,,
1992-09-29T15:35:00.000Z,458,-70,,
1992-09-29T15:40:00.000Z,479,-71,,
1992-09-29T15:45:00.000Z,484,-71,,
1992-09-29T15:50:00.000Z,529,-71,,
1992-09-29T15:55:00.000Z,472,-71,,
1992-09-29T16:00:00.000Z,436,-72,,
1992-09-29T16:05:00.000Z,490,-73,,
1992-09-29T16:10:00.000Z,1059,-70,,
1992-09-29T16:15:00.000Z,1095,-66,,
1992-09-29T16:20:00.000Z,1009,-62,,
1992-09-29T16:25:00.000Z,1030,-57,,
1992-09-29T16:30:00.000Z,692,-55,,
1992-09-29T16:35:00.000Z,466,-55,,
1992-09-29T16:40:00.000Z,650,-54,,
1992-09-29T16:45:00.000Z,667,-55,,
1992-09-29T16:50:00.000Z,664,-54,,
1992-09-29T16:55:00.000Z,548,-53,,
1992-09-29T17:00:00.000Z,337,-53,,
1992-09-29T17:05:00.000Z,206,-53,,
1992-09-29T17:10:00.000Z,229,-54,,
1992-09-29T17:15:00.000Z,258,-53,,
1992-09-29T17:20:00.000Z,267,-53,,
1992-09-29T17:25:00.000Z,317,-54,,
1992-09-29T17:30:00.000Z,344,-57,,
1992-09-29T17:35:00.000Z,388,-59,,
1992-09-29T17:40:00.000Z,435,-60,,
1992-09-29T17:45:00.000Z,429,-59,,
1992-09-29T17:50:00.000Z,344,-60,,
1992-09-29T17:55:00.000Z,336,-60,,
1992-09-29T18:00:00.000Z,209,-58,,
1992-09-29T18:05:00.000Z,182,-57,,
1992-09-29T18:10:00.000Z,161,-59,,
1992-09-29T18:15:00.000Z,189,-59,,
1992-09-29T18:20:00.000Z,252,-57,,
